City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,dongfeng,42.6403,125.5118,25.59,54,0,2.77,CN,1693630873
84,puerto baquerizo moreno,-0.9,-89.6,23.91,79,91,3.85,EC,1693630873
85,sao gabriel da cachoeira,-0.1303,-67.0892,23.56,74,66,1.29,BR,1693630874
86,taro,-8.3862,115.28,24.0,48,16,2.21,ID,1693630875
87,uturoa,-16.7333,-151.4333,23.77,74,95,6.45,PF,1693630875
88,avarua,-21.2078,-159.775,20.03,64,99,1.54,CK,1693630875
89,queenstown,-31.8976,26.8753,7.9,91,85,0.96,ZA,1693630876
90,iskateley,67.6803,53.1512,14.9,79,100,3.51,RU,1693630876
91,new norfolk,-42.7826,147.0587,13.73,41,25,1.61,AU,1693630876
92,ishigaki,24.3448,124.1572,31.07,84,75,12.86,JP,1693630877
93,suihua,46.6406,126.9969,24.46,64,4,5.8,CN,1693630877
94,kavieng,-2.5744,150.7967,28.3,68,42,7.19,PG,1693630654
95,broken hill,-31.95,141.4333,19.21,28,39,1.16,AU,1693630878
96,punta arenas,-53.15,-70.9167,0.97,77,16,4.99,CL,1693630813
97,yeppoon,-23.1333,150.7333,26.88,63,0,4.3,AU,1693630879
98,maraba,-5.3686,-49.1178,24.1,100,0,0.51,BR,1693630879
99,port alfred,-33.5906,26.891,14.56,76,100,5.49,ZA,1693630879
100,baturaja,-4.1333,104.1667,35.01,31,5,1.85,ID,1693630880
101,rawson,-43.3002,-65.1023,4.91,91,7,9.85,AR,1693630857
102,buncrana,55.1333,-7.45,11.6,96,43,1.96,IE,1693630881
103,ribeira grande,38.5167,-28.7,20.99,91,31,2.24,PT,1693630881
104,jamestown,42.097,-79.2353,17.06,88,0,2.57,US,1693630805
105,sisimiut,66.9395,-53.6735,2.14,86,54,7.34,GL,1693630882
106,beyneu,45.3167,55.2,22.94,39,11,3.97,KZ,1693630882
107,nova sintra,14.8667,-24.7167,24.36,82,100,3.38,CV,1693630882
108,hoshiarpur,31.5322,75.9172,31.76,53,0,1.69,IN,1693630654
109,luganville,-15.5333,167.1667,25.89,83,50,4.13,VU,1693630883
110,udachny,66.4167,112.4,9.14,42,100,5.4,RU,1693630884
111,portland,45.5234,-122.6762,22.97,69,0,2.24,US,1693630684
112,phan rang-thap cham,11.5667,108.9833,35.35,46,69,5.05,VN,1693630884
113,stanley,54.868,-1.6985,13.21,92,75,0.51,GB,1693630885
114,tazacorte,28.629,-17.9293,23.54,78,75,5.14,ES,1693630885
115,port macquarie,-31.4333,152.9167,18.83,53,52,5.81,AU,1693630886
116,mount pearl,47.5166,-52.7813,8.37,92,40,3.6,CA,1693630886
117,vilyuchinsk,52.9306,158.4028,21.15,69,57,5.95,RU,1693630886
118,namtsy,62.7161,129.6658,11.38,31,81,5.58,RU,1693630887
119,neftegorsk,52.802,51.166,16.19,67,57,4.59,RU,1693630887
120,sinop,41.7711,34.8709,21.18,70,26,1.15,TR,1693630887
121,santa fe do sul,-20.2111,-50.9258,25.82,40,14,3.78,BR,1693630888
122,yaren,-0.5472,166.916,28.78,75,24,5.34,NR,1693630888
123,sumbawa besar,-8.5,117.4333,32.03,33,5,4.67,ID,1693630889
124,invercargill,-46.4,168.35,12.79,80,76,0.45,NZ,1693630889
125,adis zemen,12.1167,37.7833,16.12,84,100,1.94,ET,1693630889
126,as sulayyil,20.4607,45.5779,30.14,19,31,1.18,SA,1693630890
127,lata,40.1629,-8.3327,17.26,97,98,1.0,PT,1693630891
128,teknaf,20.8624,92.3058,26.82,91,100,1.2,BD,1693630891
129,waingapu,-9.6567,120.2641,29.29,43,7,5.85,ID,1693630892
130,emerald,-23.5333,148.1667,30.19,17,0,1.36,AU,1693630892
131,cooma,-36.2333,149.1333,14.77,32,0,2.42,AU,1693630807
132,arraial do cabo,-22.9661,-42.0278,21.06,84,0,10.88,BR,1693630765
133,lazaro cardenas,17.9583,-102.2,27.29,84,86,1.5,MX,1693630893
134,sandnessjoen,66.0217,12.6316,10.29,80,100,1.84,NO,1693630894
135,pisco,-13.7,-76.2167,19.03,77,31,4.12,PE,1693630895
136,kerikeri,-35.2268,173.9474,16.62,84,100,0.89,NZ,1693630895
137,fallon,39.4735,-118.7774,16.93,59,100,2.57,US,1693630896
138,alofi,-19.0595,-169.9187,23.94,60,86,4.12,NU,1693630896
139,iguatemi,-23.6803,-54.5611,25.15,46,45,5.19,BR,1693630897
140,saynshand,44.8824,110.1163,27.51,18,49,1.48,MN,1693630897
141,jalalaqsi,3.3766,45.5996,25.75,68,75,9.3,SO,1693630897
142,margaret river,-33.95,115.0667,15.33,70,100,8.16,AU,1693630898
143,carbonear,47.7332,-53.2148,9.08,77,0,2.67,CA,1693630898
144,vorgashor,67.5833,63.95,13.0,66,100,0.68,RU,1693630899
145,georgetown,5.4112,100.3354,30.96,66,20,2.57,MY,1693630627
146,hasaki,35.7333,140.8333,35.17,74,69,4.82,JP,1693630900
147,bridgewater,44.3835,-64.5155,13.82,88,0,1.54,CA,1693630900
148,codrington,-38.2667,141.9667,16.62,60,77,3.6,AU,1693630901
149,annau,37.8876,58.516,28.72,26,0,2.06,TM,1693630901
150,pakur,24.6333,87.85,34.76,48,92,1.31,IN,1693630902
151,xining,36.6167,101.7667,23.14,26,18,1.05,CN,1693630902
152,port douglas,-16.4833,145.4667,24.24,53,10,2.62,AU,1693630902
